Prix,Vitesse_Max,Conso_Moy,Dis_Freinage,Confort,Vol_Coffre,Acceleration
23817,0.7037037037037037,8.0,35.4,0.7142857142857143,0.0,34.3
25771,0.48148148148148145,5.7,39.2,0.8571428571428571,0.43661971830985913,32.5
25496,0.48148148148148145,7.9,38.0,0.14285714285714285,0.7183098591549296,31.5
25649,0.3333333333333333,8.3,40.6,0.14285714285714285,0.36619718309859156,30.9
26183,0.6296296296296297,7.8,39.3,0.5714285714285714,0.8169014084507042,33.5
23664,0.4444444444444444,7.7,37.6,0.42857142857142855,0.5211267605633803,31.700000000000003
23344,0.48148148148148145,7.6,40.6,0.2857142857142857,0.6830985915492958,31.9
26260,1.0,6.6,38.4,0.42857142857142855,0.43661971830985913,34.6
19084,0.0,6.4,34.4,1.0,0.2112676056338028,32.0
29160,0.7777777777777778,7.5,40.5,0.0,1.0,33.5
